Reference in main table, Cite, doi
Feist Chatterton 2015, Feist R. Chatterton B.D.E. (2015). Kolihapeltine trilobites the spiniest scutelluids from the eastern Anti-Atlas (Morocco Early Devonian): evolution environment classification.  Papers in Palaeontology 1 3 255-287, https://doi.org/10.1002/spp2.1015
Feist Klapper 2022, Feist R. Klapper G. (2022). Phacopid trilobites in post-Taghanic Givetian through Frasnian cephalopod limestones Montagne Noire (France) and related areas (Thuringia Morocco). Bulletin of Geosciences 97 1-32, https://doi.org/10.3140/bull.geosci.1834
Feist et al. 2000, Feist R. Lemke U. Korn D. (2000). Trilobiten aus der Wocklumeria-Stufe des h öchsten Oberdevon von Apricke Sauerland. Senckenbergiana lethaea 79(2) 517-539, https://doi.org/10.1007/BF03043652
Feist et al. 2001, Feist R. Talent J.A. Mawson R. (2001) Devonian trilobites from the Shogrām Formation Kurāgh Chitral (NW Pakistan) Alcheringa: An Australasian Journal of Palaeontology 25:1 107-115, https://doi.org/10.1080/03115510108619216
Feist et al. 2009, Feist R. Mcnamara K. Crônier C. Lerosey-Aubril R. (2009). Patterns of extinction recovery of phacopid trilobites during the Frasnian-Famennian (Late Devonian) mass extinction event Canning Basin Western Australia. Geological Magazine 146(1) 12-33, https://doi.org/10.1017/S0016756808005335
Feist et al. 2016, Feist R. Mahboubi A. Girard C. (2016). New Late Devonian phacopid trilobites from Marhouma SW Algerian Sahara. Bulletin of Geosciences 91 243-259, https://doi.org/10.3140/bull.geosci.1600
Feist et al. 2020, Feist R. Cornee J.-J. Corradini C. Hartenfels S. Aretz M. Girard C. (2020). The Devonian-Carboniferous boundary in the stratotype area (SE Montagne Noire France). Palaeodiversity and Palaeoenvironments 101 295-311, https://doi.org/10.1007/s12549-019-00402-6
Fortey Owens 1991, Fortey R. Owens R. (1991). A trilobite fauna from the highest Shineton Shales in Shropshire the correlation of the latest Tremadoc. Geological Magazine 128(5) 437-464, https://doi.org/10.1017/S0016756800018616
Franke 2010, Franke Ch. (Hrsg.) (2010). Beiträge zur Paläontologie des Unterdevons Luxemburgs (2). Ferrantia 58 Musée national d'histoire naturelle Luxembourg 80 p, 
Ghobadi Pour et al. 2011, Ghobadi Pour M. McCobb L. Owens R. Popov L. (2010). Late Ordovician trilobites from the Karagach Formation of the western Tarbagatai Range Kazakhstan. Earth Environmental Science Transactions of the Royal Society of Edinburgh 101(2) 161-187, https://doi.org/10.1017/S1755691010010078
Gibb Chatterton 2007, Gibb S. Chatterton B.D. (2007). Timsaloproetus new genus (Proetida: Trilobita) included species from lower middle Devonian strata of Southern Morocco. Journal of Paleontology 81(2) 352-367, https://doi.org/10.1666/0022-3360(2007)81[352:TNGPTA]2.0.CO;2
Gibb Chatterton 2010, Gibb S. Chatterton B.D.E. (2010). Gerastos (Order Proetida; Class Trilobita) from the Lower to Middle Devonian of the southern Moroccan Anti-Atlas region. Palaeontographica Canadiana 30 1:89, 
Grahn 2005, Grahn Y. (2005). Devonian chitinozoan biozones of Western Gondwana. Acta Geologica Polonica 55 211-227, 
Harrington Leanza 1957, Harrington H.J. Leanza A.F. (1957). Ordovician trilobites of Argentina. Department of Geology University of Kansas Special Publication 1 276 pp, 
Holloway 2005, Holloway D.J. (2005). The trilobite genera Eocryphops and Plagiolaria (Phacopidae). Paläontologische Zeitschrift 79 227-239, https://doi.org/10.1007/bf02990186
Holloway Lane 2012, Holloway D.J. Lane P.D. (2012) Scutelluid trilobites from the Silurian of New South Wales. Palaeontology 55: 413-490, https://doi.org/10.1111/j.1475-4983.2012.01132.x
Hughes Chapman 1995, Hughes N.C. Chapman R.E. (1995) Growth variation in the Silurian proetide trilobite Aulacopleura konincki and its implications for trilobite palaeobiology. Lethaia 28: 333-353, https://doi.org/10.1111/j.1502-3931.1995.tb01824.x
Johnson Fortey 2012, Johnson R. Fortey R. (2012). Proetid Trilobites From the Lower Devonian (Pragian) Ihandar Formation Anti-Atlas Morocco. Journal of Paleontology 86(6) 1032-1050, https://doi.org/10.1666/12-021R.1
KU Collection, Kansas University Invertebrate Paleontology Collection, https://biodiversity.ku.edu/invertebrate-paleontology/collection-search 
Kaneko 1990, Kaneko A. (1990). A new trilobite genus Rhinophacops. Transactions and proceedings of the Paleontological Society of Japan. New series 1990 360-365, 
Lane Ormiston 1973, Lane H. R. Ormiston A.R. (1973). Biostratigraphy of the Salmontrout Limestone East-Central Alaska. Geol. Soe. Am. Abstraets 5 330 pp., https://www.jstor.org/stable/1303222
Lesperance 1975, Lespérance P. (1975). Stratigraphy paleontology ofthe Synphoriidae (Lower Middle Devonian dal-manitacean trilobites). Journal of Paleontology49 91-137, https://www.jstor.org/stable/1303318
Lesperance Bourque 1971, Lespérance P. Bourque P.A. (1971). The Synphoriinae: an evolutionary pattern of Lower MiddleDevonian trilobites. Journal of Paleontology 45 182-208, https://www.jstor.org/stable/1302635
Lieberman 1994, Lieberman B.S. (1994). Evolution of the trilobite subfamily Proetinae Salter 1864 the origin diversification evolutionary affinity extinction of the Middle Devonian proetid fauna of eastern North America. Bulletin of the American Museum of Natural History 223 1:176, http://hdl.handle.net/2246/831
Maksimova 1968, Maksimova Z.A. (1968). Middle Palaeozoic trilobites of central Kazakhstan. Trudy vsesoyuznogo Nauchno-Issledovatel?skogo Geologicheskogo Instituta (VSEGEI) New series 165 1-208, 
Maksimova 1978, Maksimova Z.A. (1978). Some new Devonian trilobites. Ezhegodnik Vsesoyuznogo Paleontologicheskogo Obshchestva 21 94-109, 
